station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Hôtel de Ville de Saint-Ouen,34010,4,9,13,48,"[48.911380185786, 2.3340076807601]"
Mac-Mahon - Brey,17046,6,4,10,25,"[48.87753208413, 2.2945125360529]"
Gabrielle Josserand - Edouard Vaillant,35003,2,1,3,25,"[48.90271566255436, 2.3933270573616032]"
Théâtre - Lourmel,15031,4,18,22,53,"[48.8482070397636, 2.2898658737540245]"
Square René Viviani - Montebello,5121,10,13,23,47,"[48.851904891406, 2.3478421568871]"
Aubervilliers - Curial,19127,2,2,4,23,"[48.89088305227546, 2.3688579350709915]"
Bassano -  Iéna,16015,9,3,12,15,"[48.868144510482075, 2.296149600985935]"
Pereire - Ternes,17040,3,18,21,48,"[48.87973954830735, 2.288012132048607]"
Lavandieres Sainte Opportune - Rivoli,1120,9,4,13,27,"[48.859279702476, 2.3466217517853]"
Jean-Baptiste Pigalle - La Bruyere,9026,2,1,3,17,"[48.87939826447722, 2.333709173337285]"
Transvaal - Charles de Gaulle,21001,2,22,24,27,"[48.848280403628806, 2.2373420120857195]"
Boulets - Faubourg Saint-Antoine,11010,1,5,6,43,"[48.849259262115, 2.3917546141943]"
Maine - Antoine Bourdelle,15002,1,5,6,17,"[48.84308531746595, 2.320263946784738]"
Kléber - Gouverneur Général Eboué,21310,2,19,21,24,"[48.826885843069796, 2.2723413258790965]"
Pyrénées - Maraîchers,20016,4,1,5,33,"[48.85714001395299, 2.4043509364128113]"
Mozart - Jasmin,16027,1,3,4,62,"[48.85286124871689, 2.268483570651513]"
Haies - Réunion,20116,2,1,3,22,"[48.85386896766491, 2.402426162238911]"
Place Alphonse Deville,6107,9,9,18,23,"[48.850188262662, 2.3275961726904]"
Maison de Radio - France,16029,6,29,35,47,"[48.85132886434057, 2.277785539627075]"
Lallier - Trudaine,9017,1,0,1,29,"[48.88109246617963, 2.3408224806189537]"
Villersexel - Saint-Germain,7008,8,7,15,16,"[48.858297001218, 2.3237934708595]"
Fontainebleau - Edmond Michelet,42703,3,0,3,45,"[48.80956436844049, 2.3626908659935]"
Pernety - Raymond Losserand,14030,2,0,2,32,"[48.834254627953, 2.317609339387]"
Eugène Reisz - Davout,20201,2,0,2,20,"[48.85631874632638, 2.410396970808506]"
Neuve Saint-Pierre - Beautreillis,4110,1,15,16,20,"[48.85355351439652, 2.3639122769236565]"
Sabot - Rennes,6032,12,13,25,26,"[48.852575112948415, 2.331552766263485]"
Pereire - Place de Wagram,17022,0,1,1,46,"[48.887070607581215, 2.304111124531457]"
Champ de Mars - Cler,7020,11,23,34,40,"[48.856691550115315, 2.306646779179573]"
Aqueduc - Villette,10036,5,3,8,28,"[48.883886063895, 2.367198803315]"
Mairie de Sceaux,23304,8,0,8,33,"[48.778916905132, 2.2887361764861]"
Sénat - Condé,6017,4,12,16,33,"[48.84954227788459, 2.337939441204071]"
Cadet - La Fayette,9101,3,10,13,19,"[48.875601632672, 2.3435704037547]"
Belleville - Pyrénées,19041,0,1,1,42,"[48.8741908, 2.3860039]"
Place Pasdeloup,11043,1,19,20,21,"[48.862654215631, 2.3670325062844]"
Pont Neuf - Rivoli,1117,7,14,21,27,"[48.860089892617, 2.344057559967]"
Parc André Citroën,15059,1,59,60,65,"[48.840639944297, 2.2780618071556]"
Jeanne Hornet - Girardot,31704,1,0,1,29,"[48.873802681432146, 2.427820265293122]"
Calmette,32603,0,0,0,32,"[48.88104925098552, 2.424993216991425]"
Porte Maillot - Perreire,17201,4,17,21,51,"[48.878021154637, 2.2842371277102]"
Chateau,23403,1,4,5,22,"[48.774661399959, 2.3135878035462]"
Hôtel de Ville de Champigny sur Marne,45001,3,3,6,21,"[48.813810628405, 2.5096759200096]"
Place François Mitterand,31023,4,0,4,34,"[48.86492782016328, 2.442958317697048]"
Faubourg Poissonniere - Delta,9118,0,0,0,36,"[48.882555807626765, 2.3497482016682625]"
Billancourt - Général Leclerc,21024,1,5,6,22,"[48.8322649, 2.2380413]"
